File_Number,Count,Percentage
307,2270,100.00%
766,1028,45.29%
471,2270,100.00%
803,2270,100.00%
148,2270,100.00%
529,2270,100.00%
199,2270,100.00%
693,2270,100.00%
134,2270,100.00%
927,2270,100.00%
555,2270,100.00%
223,2270,100.00%
584,2270,100.00%
13,2270,100.00%
642,2270,100.00%
878,2270,100.00%
133,2270,100.00%
694,2270,100.00%
552,2270,100.00%
920,2270,100.00%
583,2270,100.00%
224,2270,100.00%
645,2240,98.68%
14,2270,100.00%
300,2269,99.96%
761,2270,100.00%
