File_Number,Count,Percentage,Alleles
145,2270,100.00,1
62,2270,100.00,1
194,2270,100.00,1
633,2270,100.00,1
987,2270,100.00,1
252,0,0.00,1
717,0,0.00,1
376,0,0.00,1
872,0,0.00,1
400,0,0.00,1
558,0,0.00,1
139,2270,100.00,1
589,2270,100.00,1
710,1,0.04,2
371,0,0.00,1
407,0,0.00,1
875,2270,100.00,1
699,0,0.00,1
648,2270,100.00,1
19,0,0.00,1
229,0,0.00,1
809,0,0.00,1
284,0,0.00,1
951,2270,100.00,2
7,0,0.00,1
523,0,0.00,1
142,0,0.00,1
634,0,0.00,1
193,2270,100.00,1
65,0,0.00,1
255,0,0.00,1
980,2270,100.00,1
395,2270,100.00,1
432,0,0.00,1
840,0,0.00,1
344,0,0.00,1
891,2270,100.00,1
725,0,0.00,1
918,2270,100.00,1
788,2270,100.00,1
338,2270,100.00,1
759,0,0.00,1
260,2270,100.00,1
601,193,8.50,2
50,2270,100.00,1
81,2270,100.00,1
177,0,0.00,1
964,2270,100.00,1
516,2270,100.00,1
449,0,0.00,1
498,2270,100.00,1
267,0,0.00,1
57,0,0.00,1
606,0,0.00,1
170,2270,100.00,1
86,0,0.00,1
511,0,0.00,1
963,0,0.00,1
847,0,0.00,1
435,2270,100.00,1
392,2270,100.00,1
896,2270,100.00,1
343,2270,100.00,1
722,0,0.00,1
781,2270,100.00,1
835,0,0.00,1
447,0,0.00,1
331,2270,100.00,1
496,0,0.00,1
750,2270,100.00,1
269,0,0.00,1
608,2270,100.00,1
59,0,0.00,1
88,2270,100.00,1
849,0,0.00,1
898,0,0.00,1
215,0,0.00,1
674,0,0.00,1
25,2270,100.00,1
102,0,0.00,1
563,2270,100.00,1
911,0,0.00,1
212,0,0.00,1
22,0,0.00,1
673,0,0.00,1
105,0,0.00,1
916,0,0.00,1
564,0,0.00,1
786,2270,100.00,1
440,0,0.00,1
832,0,0.00,1
491,0,0.00,1
336,2270,100.00,1
757,0,0.00,1
179,0,0.00,1
518,2270,100.00,1
114,0,0.00,1
575,0,0.00,1
907,0,0.00,1
203,0,0.00,1
33,0,0.00,1
662,0,0.00,1
168,2270,100.00,1
509,0,0.00,1
327,0,0.00,1
480,2270,100.00,1
746,2270,100.00,1
797,2270,100.00,1
823,2270,100.00,2
451,0,0.00,1
99,0,0.00,1
278,0,0.00,1
619,0,0.00,1
48,2270,100.00,1
487,0,0.00,1
320,0,0.00,1
741,0,0.00,1
790,0,0.00,1
456,0,0.00,1
824,2270,100.00,1
113,2270,100.00,1
900,0,0.00,1
572,0,0.00,1
204,2270,100.00,1
665,0,0.00,1
34,2270,100.00,1
889,2270,100.00,1
858,0,0.00,1
161,0,0.00,1
97,2270,100.00,1
972,0,0.00,1
500,0,0.00,1
276,2270,100.00,1
46,2270,100.00,1
617,2270,100.00,1
489,0,0.00,1
458,0,0.00,1
352,0,0.00,1
887,0,0.00,1
733,2270,100.00,1
383,2270,100.00,1
424,2270,100.00,1
856,0,0.00,1
909,2270,100.00,1
880,0,0.00,1
355,2270,100.00,1
734,0,0.00,1
851,0,0.00,1
423,0,0.00,1
384,0,0.00,1
90,0,0.00,1
166,2270,100.00,1
507,0,0.00,1
975,0,0.00,1
271,2270,100.00,1
610,2270,100.00,1
41,2270,100.00,1
329,2270,100.00,1
748,2270,100.00,1
799,0,0.00,1
659,19,0.84,2
238,2270,100.00,1
688,0,0.00,1
864,0,0.00,1
416,2270,100.00,1
701,2270,100.00,1
360,0,0.00,1
182,2270,100.00,1
625,0,0.00,1
74,0,0.00,1
991,0,0.00,1
244,0,0.00,1
532,0,0.00,1
940,0,0.00,1
295,0,0.00,1
153,0,0.00,1
818,2270,100.00,1
73,2270,100.00,1
622,0,0.00,1
185,2270,100.00,1
243,2270,100.00,1
996,0,0.00,1
292,2270,100.00,1
947,0,0.00,1
535,0,0.00,1
154,2270,100.00,1
598,2270,100.00,1
549,2270,100.00,1
128,16,0.70,2
411,0,0.00,1
863,2270,100.00,1
706,0,0.00,1
367,0,0.00,1
998,0,0.00,1
949,2270,100.00,1
463,0,0.00,1
811,2270,100.00,1
774,0,0.00,1
315,0,0.00,1
650,0,0.00,1
596,2270,100.00,1
231,0,0.00,1
935,0,0.00,1
547,0,0.00,1
126,0,0.00,1
681,0,0.00,1
708,0,0.00,1
369,2270,100.00,1
657,2270,100.00,1
236,0,0.00,1
591,0,0.00,1
540,0,0.00,1
932,0,0.00,1
686,2270,100.00,1
121,0,0.00,1
418,0,0.00,1
816,2270,100.00,1
464,0,0.00,1
773,0,0.00,1
312,0,0.00,1
742,0,0.00,1
484,0,0.00,1
323,2270,100.00,1
827,0,0.00,1
455,0,0.00,1
793,0,0.00,1
571,2270,100.00,2
903,0,0.00,1
110,2270,100.00,1
37,0,0.00,1
666,0,0.00,1
207,2270,100.00,1
429,2270,100.00,1
904,2270,100.00,1
576,0,0.00,1
117,2270,100.00,1
661,2270,100.00,1
30,0,0.00,1
200,2270,100.00,1
739,2270,100.00,1
358,0,0.00,1
389,0,0.00,1
978,0,0.00,1
745,0,0.00,1
324,0,0.00,1
483,2270,100.00,1
452,2270,100.00,1
820,0,0.00,1
794,0,0.00,1
578,0,0.00,1
119,0,0.00,1
737,2270,100.00,1
883,0,0.00,1
356,2270,100.00,1
420,0,0.00,1
852,2270,100.00,1
387,0,0.00,1
976,0,0.00,1
504,2270,100.00,1
165,2270,100.00,1
93,0,0.00,1
42,0,0.00,1
613,2270,100.00,1
272,2270,100.00,1
503,0,0.00,1
971,0,0.00,1
94,0,0.00,1
162,0,0.00,1
614,2270,100.00,1
45,0,0.00,1
275,0,0.00,1
829,0,0.00,1
668,0,0.00,1
39,0,0.00,1
209,0,0.00,1
730,0,0.00,1
351,2270,100.00,1
884,0,0.00,1
380,0,0.00,1
855,0,0.00,1
427,2270,100.00,1
240,0,0.00,1
995,2270,100.00,1
621,2270,100.00,1
186,2270,100.00,1
70,0,0.00,1
157,0,0.00,1
291,2270,100.00,1
536,2270,100.00,1
944,2270,100.00,1
318,0,0.00,1
779,0,0.00,1
938,0,0.00,1
860,2270,100.00,1
412,0,0.00,1
364,0,0.00,1
705,0,0.00,1
415,2270,100.00,1
867,0,0.00,1
363,2270,100.00,1
702,0,0.00,1
992,2270,100.00,1
247,0,0.00,1
77,2270,100.00,1
181,2270,100.00,1
626,0,0.00,1
150,2270,100.00,1
943,2270,100.00,1
531,2270,100.00,1
296,0,0.00,1
469,2270,100.00,1
235,0,0.00,1
592,2270,100.00,1
654,0,0.00,1
685,0,0.00,1
122,2270,100.00,1
931,0,0.00,1
543,2270,100.00,1
869,2270,100.00,1
249,0,0.00,1
628,0,0.00,1
79,2270,100.00,1
298,2270,100.00,1
467,0,0.00,1
815,2270,100.00,1
311,2270,100.00,1
770,2270,100.00,1
188,0,0.00,1
159,2270,100.00,1
538,0,0.00,1
812,0,0.00,1
460,85,3.74,2
316,0,0.00,1
777,2270,100.00,1
595,2270,100.00,1
232,0,0.00,1
653,0,0.00,1
125,0,0.00,1
682,0,0.00,1
544,0,0.00,1
936,2270,100.00,1
307,2270,100.00,1
766,0,0.00,1
471,2270,100.00,1
803,0,0.00,1
148,0,0.00,1
529,2270,100.00,1
199,2270,100.00,1
693,0,0.00,1
134,0,0.00,1
927,0,0.00,1
555,2270,100.00,1
223,0,0.00,1
584,0,0.00,1
13,2270,100.00,1
642,0,0.00,1
878,2270,100.00,1
133,2270,100.00,1
694,2270,100.00,1
552,2270,100.00,1
920,0,0.00,1
583,0,0.00,1
224,2270,100.00,1
645,2270,100.00,1
14,0,0.00,1
300,2270,100.00,1
761,0,0.00,1
804,0,0.00,1
476,2270,100.00,1
289,2270,100.00,1
258,2270,100.00,1
639,0,0.00,1
68,2270,100.00,1
372,0,0.00,1
713,0,0.00,1
876,0,0.00,1
404,2270,100.00,1
478,0,0.00,1
141,0,0.00,1
287,0,0.00,1
520,2270,100.00,1
952,2270,100.00,1
4,0,0.00,1
256,0,0.00,1
983,0,0.00,1
66,487,21.45,2
